Tier,Company,Parent,HQ,Product,Why_Match,Suggested_Contact_Search,Existing_Sister_Company
A,MW Components,Rosebank Industries (post-close 2026),Rosemont IL,Specialty fasteners + springs (21 brands),"Procurement-window after $3.25B sale; we serve Elgin (MW sibling)","Director of Procurement OR VP Operations Rosebank Industries OR MW Components",Elgin Fastener Group
A,Accurate Screw Machine,MW Components,Yonkers NY,Precision threaded fasteners,"MW sibling of Elgin which we already serve; tooling consistent","Director Manufacturing Accurate Screw Machine",Elgin Fastener Group
A,Ideal Fasteners,MW Components,Wallingford CT,Stock + custom threaded fasteners,"Same MW family; specialty-thread tooling overlap","VP Operations Ideal Fasteners",Elgin Fastener Group
A,RAF Electronic Hardware,MW Components,Seymour CT,Spacers standoffs threaded inserts,"MW family; small-mill work fits VMC-04 + Roku-Roku","Sourcing Manager RAF Electronic Hardware",Elgin Fastener Group
A,Western Wire Products,MW Components,St Charles MO,Wire forms,"Wire-EDM + lathe overlap; MW family","Manufacturing Director Western Wire Products",Elgin Fastener Group
A,Century Spring,MW Components,Los Angeles CA,Springs (compression/extension),"Wire forming overlap","Operations Director Century Spring",Elgin Fastener Group
A,Fox Valley Spring,MW Components,Sandwich IL,Wire forms,"Geographically close (NIL); MW family","Plant Manager Fox Valley Spring Sandwich IL",Elgin Fastener Group
A,Birmingham Fastener,Stephens Group,Birmingham AL,Construction + industrial bolts,"$334M revenue rollup; we already supply 78 programs","VP Operations Birmingham Fastener",(self - 78 programs in archive)
A,K-T Bolt Manufacturing,Birmingham Fastener,Katy TX,Industrial fasteners,"BHF acquired 2022; same parent","Plant Manager K-T Bolt Katy TX",Birmingham Fastener
A,Steel City Bolt & Screw,Birmingham Fastener,Birmingham AL,Industrial fasteners,"BHF acquired 2021; same parent","Manufacturing Director Steel City Bolt",Birmingham Fastener
A,Atlanta Rod & Manufacturing,Birmingham Fastener,Lavonia GA,Anchor bolts threaded rod,"BHF acquired 2020; same parent","VP Operations Atlanta Rod Lavonia GA",Birmingham Fastener
A,Pacific Coast Bolt,Birmingham Fastener,Camarillo CA,Industrial fasteners,"BHF West Coast operation","Plant Manager Pacific Coast Bolt",Birmingham Fastener
A,Champion Manufacturing,Birmingham Fastener,Magnolia TX,Industrial fasteners,"BHF acquired 2022","Sourcing Champion Manufacturing Magnolia TX",Birmingham Fastener
A,RB&W Corp,Park-Ohio Supply Technologies,Strongsville OH,Cold-formed automotive fasteners,"PKOH expanding aerospace/defense; greenfield for JM","Director Sourcing RB&W Corp Park-Ohio",none
A,Arden Industrial Products,Park-Ohio Supply Technologies,Strongsville OH,Industrial fasteners,"PKOH family; supply-chain mgmt customer","Procurement Manager Arden Industrial",none
A,Arcon Fastener Corp,Park-Ohio Supply Technologies,IL/OH,Specialty fasteners,"PKOH family","Operations Arcon Fastener Park-Ohio",none
A,Delo Screw Products,Park-Ohio Supply Technologies,IL,Specialty screws,"PKOH family; IL-local","Plant Manager Delo Screw IL",none
A,Columbia Nut & Bolt,Park-Ohio Supply Technologies,OH,Industrial fasteners,"PKOH family","Sourcing Columbia Nut & Bolt",none
A,Howmet Aerospace,Howmet Aerospace (NYSE HWM),Pittsburgh PA,Aerospace fasteners (formerly Alcoa Fastening),"We supplied to Arconic predecessor; aerospace volumes recovering","Director Procurement Howmet Aerospace Fastening Systems",Arconic
A,Schroth Safety Products,TransDigm Group,Allendale NJ,Aerospace restraints,"TDG aerospace family with Allfast","Sourcing Schroth Safety TransDigm",Allfast
A,AdelWiggins Group,TransDigm Group,Los Angeles CA,Aerospace clamps + couplings,"TDG aerospace family with Allfast","Procurement AdelWiggins Group TransDigm",Allfast
B,ITW Buildex,Illinois Tool Works,Itasca IL,Self-drilling/tapping screws (Teks Sammys Dec-King brands),"Geographic neighbor; ITW family","Sourcing Manager ITW Buildex Itasca IL",ITW Shakeproof
B,ITW Fastex,Illinois Tool Works,Frankfort IL,Plastic auto/appliance fasteners,"ITW family; tooling overlap","Procurement ITW Fastex Frankfort IL",ITW Shakeproof
B,ITW Deltar,Illinois Tool Works,Frankfort IL,Auto plastic injection,"ITW family; tooling work","Sourcing ITW Deltar",ITW Shakeproof
B,ITW Drawform,Illinois Tool Works,Frankfort IL,Auto cold-form,"ITW family; cold-form tooling","Operations ITW Drawform",ITW Shakeproof
B,ITW Red Head,Illinois Tool Works,Wood Dale IL,Anchors,"ITW family; Anchor-tooling overlap","Procurement ITW Red Head Wood Dale",ITW Shakeproof
B,ITW Ramset,Illinois Tool Works,Glendale Heights IL,Powder-actuated fastening,"ITW family; specialty tooling","Sourcing ITW Ramset",ITW Shakeproof
B,ITW Heartland,Illinois Tool Works,Various,Railroad fastening,"ITW family","Procurement ITW Heartland Railroad",ITW Shakeproof
